scenario	screenshot	category	status	glyph_median_px	block_height_px	left_px	bottom_px	right_px	top_px	contrast_ratio	background	overflow	text_overlaps	ui_occlusions	failures	hierarchy	text
en day2 exploration	playmode-en-day2-exploration-1280x800.png	ui-info	PASS	14.6	14.9	1070.3	187.3	1170.7	202.2	17.7	ui-image:가방 4	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 4/라벨	5. Locked
en day2 exploration	playmode-en-day2-exploration-1280x800.png	ui-info	PASS	14.6	14.9	1235.5	187.3	1336.0	202.3	17.7	ui-image:가방 5	0			bounds	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 5/라벨	6. Locked
en day2 exploration	playmode-en-day2-exploration-1280x800.png	ui-info	PASS	14.4	41.4	1092.8	450.6	1315.9	492.0	14.0	ui-image:가방 · icon.resource-tool-set	0			bounds	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 제목	Expedition Bag 4/6/Maximum 2 per stack
en day2 exploration	playmode-en-day2-exploration-1280x800.png	ui-info	PASS	15.0	15.6	419.4	580.4	860.2	596.1	18.5	ui-image:김씨 독백 · 배치 상태 · effect.comedy-feedback	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/김씨 독백 · 배치 상태 · effect.comedy-feedback/김씨 독백 또는 배치 상태	Left Wood behind and took the new item.
en day2 exploration	playmode-en-day2-exploration-1280x800.png	ui-info	PASS	16.7	47.6	28.9	727.5	469.3	775.1	18.1	ui-image:상태 HUD	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/날짜·상태	DAY 2/3 · Island expedition/Hunger 35 | Energy 66 | Daylight 100
en day2 exploration	playmode-en-day2-exploration-1280x800.png	ui-info	PASS	16.7	47.6	793.2	673.4	1251.9	721.0	14.5	ui-image:상태 HUD	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/보유 자원	Wood 0   Stone 1   Food 0   Salvage 0/Signal 0/2   Axe Owned   Rope Owned
en day2 exploration	playmode-en-day2-exploration-1280x800.png	ui-info	PASS	12.8	21.5	1056.7	52.2	1270.9	73.6	8.2	ui-image:언어 설정	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/언어 설정/라벨	English → Korean
en day2 exploration	playmode-en-day2-exploration-1280x800.png	ui-info	PASS	12.8	47.6	34.9	39.2	969.0	86.8	18.1	ui-image:조작 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/조작	Keyboard & Mouse · A/D move · Auto-swim · Space jump · E search · R return/Replace bag 1–4 · Esc discard · F1 language
en day2 exploration	playmode-en-day2-exploration-1280x800.png	world-info	PASS	21.7	22.4	739.7	614.6	746.5	636.9	1.4	screenshot-border-median	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/귀환 지점/라벨	CAMP
en placement invalid	playmode-en-placement-invalid-1280x800.png	placement-status	PASS	18.8	52.9	282.9	559.3	996.6	612.2	13.0	ui-image:김씨 독백 · 배치 상태 · effect.comedy-feedback	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/김씨 독백 · 배치 상태 · effect.comedy-feedback/김씨 독백 또는 배치 상태	[ INVALID ]/Keep it inside the compatible camp build area.
en placement invalid	playmode-en-placement-invalid-1280x800.png	placement-world	PASS	17.6	94.6	268.1	153.7	433.0	248.4	11.1	world-badge:world.entrance 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/world.entrance 안내/안내 문구	Keep Entrance/Clear
en placement invalid	playmode-en-placement-invalid-1280x800.png	placement-world	PASS	23.0	59.0	463.3	146.7	629.2	205.7	8.8	world-badge:world.required_path 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/world.required_path 안내/안내 문구	Required Path
en placement invalid	playmode-en-placement-invalid-1280x800.png	placement-world	PASS	22.1	90.9	934.4	206.4	1213.4	297.3	10.9	world-badge:구조 신호대 전용 앵커 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/구조 신호대 전용 앵커 안내/안내 문구	Dedicated Anchor · Signal 0/2
en placement invalid	playmode-en-placement-invalid-1280x800.png	placement-world	PASS	17.6	59.4	48.1	357.4	381.7	416.7	10.7	world-badge:배치 판정	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/배치 유령 · object.camp-structures/배치 판정/안내 문구	Campfire/Invalid Placement
en placement invalid	playmode-en-placement-invalid-1280x800.png	placement-world	PASS	17.6	65.2	688.5	140.9	1018.7	206.0	11.9	world-badge:호환 건설 구역 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/호환 건설 구역 안내/안내 문구	General Facilities/0.5m Floor Snap
en placement invalid	playmode-en-placement-invalid-1280x800.png	ui-info	PASS	16.7	47.6	28.9	727.5	363.6	775.1	18.1	ui-image:상태 HUD	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/날짜·상태	DAY 1/3 · Camp preparation/Hunger 70 | Energy 100
en placement invalid	playmode-en-placement-invalid-1280x800.png	ui-info	PASS	16.7	47.6	752.8	673.4	1252.1	721.0	14.5	ui-image:상태 HUD	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/보유 자원	Wood 12   Stone 11   Food 0   Salvage 10/Signal 0/2   Axe None   Rope None
en placement invalid	playmode-en-placement-invalid-1280x800.png	ui-info	PASS	12.8	21.5	1017.3	52.2	1231.5	73.6	8.2	ui-image:언어 설정	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/언어 설정/라벨	English → Korean
en placement invalid	playmode-en-placement-invalid-1280x800.png	ui-info	PASS	12.8	73.4	207.0	26.3	717.4	99.7	18.1	ui-image:조작 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/조작	Keyboard & Mouse · Move with mouse/Click/Enter confirm · Right-click/Esc cancel/F1 language
en placement valid	playmode-en-placement-valid-1280x800.png	placement-status	PASS	18.8	52.9	386.6	559.3	894.6	612.2	11.1	ui-image:김씨 독백 · 배치 상태 · effect.comedy-feedback	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/김씨 독백 · 배치 상태 · effect.comedy-feedback/김씨 독백 또는 배치 상태	[ VALID ]/Place Campfire · 0.5m floor snap
en placement valid	playmode-en-placement-valid-1280x800.png	placement-world	PASS	17.6	94.6	268.1	153.7	433.0	248.4	11.1	world-badge:world.entrance 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/world.entrance 안내/안내 문구	Keep Entrance/Clear
en placement valid	playmode-en-placement-valid-1280x800.png	placement-world	PASS	23.0	59.0	463.3	146.7	629.2	205.7	8.8	world-badge:world.required_path 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/world.required_path 안내/안내 문구	Required Path
en placement valid	playmode-en-placement-valid-1280x800.png	placement-world	PASS	22.1	90.9	934.4	206.4	1213.4	297.3	10.9	world-badge:구조 신호대 전용 앵커 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/구조 신호대 전용 앵커 안내/안내 문구	Dedicated Anchor · Signal 0/2
en placement valid	playmode-en-placement-valid-1280x800.png	placement-world	PASS	22.7	59.4	359.9	357.4	664.0	416.7	8.8	world-badge:배치 판정	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/배치 유령 · object.camp-structures/배치 판정/안내 문구	Campfire/Valid Placement
en placement valid	playmode-en-placement-valid-1280x800.png	placement-world	PASS	17.6	65.2	688.5	140.9	1018.7	206.0	11.9	world-badge:호환 건설 구역 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/호환 건설 구역 안내/안내 문구	General Facilities/0.5m Floor Snap
en placement valid	playmode-en-placement-valid-1280x800.png	ui-info	PASS	16.7	47.6	28.9	727.5	363.6	775.1	18.1	ui-image:상태 HUD	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/날짜·상태	DAY 1/3 · Camp preparation/Hunger 70 | Energy 100
en placement valid	playmode-en-placement-valid-1280x800.png	ui-info	PASS	16.7	47.6	752.8	673.4	1252.1	721.0	14.5	ui-image:상태 HUD	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/보유 자원	Wood 12   Stone 11   Food 0   Salvage 10/Signal 0/2   Axe None   Rope None
en placement valid	playmode-en-placement-valid-1280x800.png	ui-info	PASS	12.8	21.5	1017.3	52.2	1231.5	73.6	8.2	ui-image:언어 설정	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/언어 설정/라벨	English → Korean
en placement valid	playmode-en-placement-valid-1280x800.png	ui-info	PASS	12.8	73.4	207.0	26.3	717.4	99.7	18.1	ui-image:조작 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/조작	Keyboard & Mouse · Move with mouse/Click/Enter confirm · Right-click/Esc cancel/F1 language
en rescue result	playmode-en-rescue-result-1280x800.png	ui-info	PASS	12.0	44.1	338.7	343.8	940.3	388.0	18.6	ui-image:결과	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/결과/결과 설명	The improvised antenna worked by a miracle. Mr. Kim took a photo before the rescuers arrived.
en rescue result	playmode-en-rescue-result-1280x800.png	ui-info	PASS	22.4	30.2	435.7	475.5	844.1	505.7	13.3	ui-image:결과	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/결과/결과 제목	Rescue Successful!
en rescue result	playmode-en-rescue-result-1280x800.png	ui-info	PASS	9.2	12.2	610.0	235.3	671.4	247.5	8.2	ui-image:다시 시작	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/결과/다시 시작/라벨	Restart
en rescue result	playmode-en-rescue-result-1280x800.png	ui-info	PASS	11.6	39.1	219.6	568.7	1060.0	607.8	18.5	ui-image:김씨 독백 · 배치 상태 · effect.comedy-feedback	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/김씨 독백 · 배치 상태 · effect.comedy-feedback/김씨 독백 또는 배치 상태	The improvised antenna worked by a miracle. Mr. Kim took a photo before the rescuers arrived.
en rescue result	playmode-en-rescue-result-1280x800.png	ui-info	PASS	16.7	47.6	28.9	727.5	282.3	775.1	18.1	ui-image:상태 HUD	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/날짜·상태	DAY 3/3 · Result/Hunger 0 | Energy 27
