scenario	screenshot	category	status	glyph_median_px	block_height_px	left_px	bottom_px	right_px	top_px	contrast_ratio	background	overflow	text_overlaps	ui_occlusions	failures	hierarchy	text
en day2 exploration	playmode-en-day2-exploration-1280x800.png	ui-info	PASS	17.5	50.3	1069.0	483.8	1340.0	534.1	14.0	ui-image:가방 · icon.resource-tool-set	0			bounds	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 제목	Expedition Bag 4/6/Maximum 2 per stack
en day2 exploration	playmode-en-day2-exploration-1280x800.png	ui-info	PASS	16.7	46.2	28.9	728.2	469.3	774.4	18.1	ui-image:상태 HUD	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/날짜·상태	DAY 1/3 · Island expedition/Hunger 70 | Energy 73 | Daylight 100
en day2 exploration	playmode-en-day2-exploration-1280x800.png	ui-info	PASS	16.7	46.2	795.8	674.1	1252.1	720.3	14.5	ui-image:상태 HUD	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/보유 자원	Wood 2   Stone 1   Food 0   Salvage 0/Signal 0/2   Axe None   Rope None
en day2 exploration	playmode-en-day2-exploration-1280x800.png	ui-info	PASS	12.8	21.5	1035.5	52.2	1249.8	73.6	8.2	ui-image:언어 설정	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/언어 설정/라벨	English → Korean
en day2 exploration	playmode-en-day2-exploration-1280x800.png	ui-info	PASS	12.8	47.6	92.7	39.2	868.4	86.8	18.1	ui-image:조작 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/조작	Gamepad · Stick move · Auto-swim · A jump · X search · B return/Replace: D-pad+A (4 slots) · B discard · Y language
en day2 exploration	playmode-en-day2-exploration-1280x800.png	world-info	PASS	20.1	67.8	368.9	483.8	809.4	551.5	18.4	world-badge:숲길 장벽 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/숲길 장벽 안내/안내 문구	Stone Axe Required/Vine & Wood Barrier
en placement invalid	playmode-en-placement-invalid-1280x800.png	placement-world	PASS	17.6	94.6	268.1	153.7	433.0	248.4	11.1	world-badge:world.entrance 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/world.entrance 안내/안내 문구	Keep Entrance/Clear
en placement invalid	playmode-en-placement-invalid-1280x800.png	placement-world	PASS	23.0	59.0	463.3	146.7	629.2	205.7	8.8	world-badge:world.required_path 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/world.required_path 안내/안내 문구	Required Path
en placement invalid	playmode-en-placement-invalid-1280x800.png	placement-world	PASS	22.1	90.9	934.4	206.4	1213.4	297.3	10.9	world-badge:구조 신호대 전용 앵커 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/구조 신호대 전용 앵커 안내/안내 문구	Dedicated Anchor · Signal 0/2
en placement invalid	playmode-en-placement-invalid-1280x800.png	placement-world	PASS	17.6	59.4	48.1	357.4	381.7	416.7	10.7	world-badge:배치 판정	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/배치 유령 · object.camp-structures/배치 판정/안내 문구	Campfire/Invalid Placement
en placement invalid	playmode-en-placement-invalid-1280x800.png	placement-world	FAIL	12.9	47.5	270.8	281.8	411.6	329.3	12.6	world-badge:증축 계획 지점 안내	0			height	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/현장형 창고·증축 계획 지점 placeholder/증축 계획 지점 안내/안내 문구	Facilities · Expansion
en placement invalid	playmode-en-placement-invalid-1280x800.png	placement-world	PASS	17.6	100.8	698.1	123.1	1008.6	223.8	11.9	world-badge:호환 건설 구역 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/호환 건설 구역 안내/안내 문구	General Facility Ground/0.5m Floor Snap
en placement invalid	playmode-en-placement-invalid-1280x800.png	ui-info	PASS	16.7	46.2	28.9	728.2	363.6	774.4	18.1	ui-image:상태 HUD	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/날짜·상태	DAY 1/3 · Camp preparation/Hunger 70 | Energy 100
en placement invalid	playmode-en-placement-invalid-1280x800.png	ui-info	PASS	16.7	46.2	752.8	674.1	1252.1	720.3	14.5	ui-image:상태 HUD	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/보유 자원	Wood 12   Stone 11   Food 0   Salvage 10/Signal 0/2   Axe None   Rope None
en placement invalid	playmode-en-placement-invalid-1280x800.png	ui-info	PASS	12.8	21.5	1017.3	52.2	1231.5	73.6	8.2	ui-image:언어 설정	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/언어 설정/라벨	English → Korean
en placement invalid	playmode-en-placement-invalid-1280x800.png	ui-info	PASS	12.8	73.4	279.1	26.3	647.2	99.7	18.1	ui-image:조작 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/조작	Gamepad · Move with left stick/A confirm · B cancel/Y language
en placement valid	playmode-en-placement-valid-1280x800.png	placement-world	PASS	17.6	94.6	268.1	153.7	433.0	248.4	11.1	world-badge:world.entrance 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/world.entrance 안내/안내 문구	Keep Entrance/Clear
en placement valid	playmode-en-placement-valid-1280x800.png	placement-world	PASS	23.0	59.0	463.3	146.7	629.2	205.7	8.8	world-badge:world.required_path 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/world.required_path 안내/안내 문구	Required Path
en placement valid	playmode-en-placement-valid-1280x800.png	placement-world	PASS	22.1	90.9	934.4	206.4	1213.4	297.3	10.9	world-badge:구조 신호대 전용 앵커 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/구조 신호대 전용 앵커 안내/안내 문구	Dedicated Anchor · Signal 0/2
en placement valid	playmode-en-placement-valid-1280x800.png	placement-world	PASS	22.7	59.4	359.9	357.4	664.0	416.7	8.8	world-badge:배치 판정	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/배치 유령 · object.camp-structures/배치 판정/안내 문구	Campfire/Valid Placement
en placement valid	playmode-en-placement-valid-1280x800.png	placement-world	FAIL	12.9	47.5	270.8	281.8	411.6	329.3	12.6	world-badge:증축 계획 지점 안내	0			height	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/현장형 창고·증축 계획 지점 placeholder/증축 계획 지점 안내/안내 문구	Facilities · Expansion
en placement valid	playmode-en-placement-valid-1280x800.png	placement-world	PASS	17.6	100.8	698.1	123.1	1008.6	223.8	11.9	world-badge:호환 건설 구역 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/호환 건설 구역 안내/안내 문구	General Facility Ground/0.5m Floor Snap
en placement valid	playmode-en-placement-valid-1280x800.png	ui-info	PASS	16.7	46.2	28.9	728.2	363.6	774.4	18.1	ui-image:상태 HUD	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/날짜·상태	DAY 1/3 · Camp preparation/Hunger 70 | Energy 100
en placement valid	playmode-en-placement-valid-1280x800.png	ui-info	PASS	16.7	46.2	752.8	674.1	1252.1	720.3	14.5	ui-image:상태 HUD	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/보유 자원	Wood 12   Stone 11   Food 0   Salvage 10/Signal 0/2   Axe None   Rope None
en placement valid	playmode-en-placement-valid-1280x800.png	ui-info	PASS	12.8	21.5	1017.3	52.2	1231.5	73.6	8.2	ui-image:언어 설정	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/언어 설정/라벨	English → Korean
en placement valid	playmode-en-placement-valid-1280x800.png	ui-info	PASS	12.8	73.4	279.1	26.3	647.2	99.7	18.1	ui-image:조작 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/조작	Gamepad · Move with left stick/A confirm · B cancel/Y language
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	exploration-world	PASS	20.8	50.0	557.9	453.0	703.2	503.1	14.9	world-badge:자원 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/Water Search · Food/자원 안내/안내 문구	헤엄쳐 수색/식량 ×2
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	exploration-world	PASS	20.5	50.0	353.1	335.7	498.4	385.7	14.9	world-badge:자원 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/Water Search · Salvage/자원 안내/안내 문구	헤엄쳐 수색/표류물 ×2
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	ui-info	PASS	18.2	23.2	1055.8	303.0	1187.2	326.1	6.6	ui-image:가방 0	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 0/라벨	1. 나무 ×2
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	ui-info	PASS	22.3	22.5	1242.6	303.7	1329.7	326.1	12.1	ui-image:가방 1	0			bounds	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 1/라벨	2. 빈칸
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	ui-info	PASS	22.3	22.5	1077.6	229.9	1164.4	252.4	12.1	ui-image:가방 2	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 2/라벨	3. 빈칸
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	ui-info	PASS	22.3	22.5	1241.2	229.9	1329.7	252.4	12.1	ui-image:가방 3	0			bounds	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 3/라벨	4. 빈칸
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	ui-info	PASS	22.5	22.5	1078.0	156.0	1161.6	178.6	17.7	ui-image:가방 4	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 4/라벨	5. 잠김
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	ui-info	PASS	22.5	22.5	1242.6	156.0	1326.9	178.6	17.7	ui-image:가방 5	0			bounds	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 5/라벨	6. 잠김
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	ui-info	PASS	22.8	54.9	1096.1	482.4	1308.9	537.4	14.0	ui-image:가방 · icon.resource-tool-set	0			bounds	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 제목	수색 가방 4/6/한 묶음 최대 2개
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	ui-info	PASS	19.2	49.8	28.5	725.9	345.8	775.7	18.1	ui-image:상태 HUD	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/날짜·상태	DAY 1/3 · 얕은 연안 수영/허기 70 | 체력 94 | 일광 100
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	ui-info	PASS	19.5	47.2	863.4	674.4	1252.1	721.6	14.5	ui-image:상태 HUD	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/보유 자원	나무 2   돌 1   식량 0   표류물 0/신호대 0/2   도끼 없음   밧줄 없음
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	ui-info	PASS	17.7	25.3	1037.0	49.7	1245.9	75.0	8.2	ui-image:언어 설정	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/언어 설정/라벨	한국어 → English
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	ui-info	PASS	21.1	53.4	95.9	36.5	864.3	90.0	18.1	ui-image:조작 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/조작	게임패드 · 스틱 이동 · 해안 자동 수영 · A 점프 · X 수색 · B 귀환/교체 창 방향키+A (4칸) · B 포기 · Y 언어
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	world-info	PASS	21.7	22.4	901.9	612.3	908.5	634.8	1.4	screenshot-border-median	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/귀환 지점/라벨	CAMP
ko day2 exploration	playmode-ko-day2-exploration-1280x800.png	exploration-world	PASS	20.8	21.1	146.7	317.5	246.1	338.6	17.4	world-badge:자원 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/Gather · Food/자원 안내/안내 문구	식량 ×2
ko day2 exploration	playmode-ko-day2-exploration-1280x800.png	exploration-world	FAIL	16.5	20.7	740.4	434.8	868.1	455.5	17.4	world-badge:자원 안내	0			height	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/Gather · Salvage/자원 안내/안내 문구	표류물 ×2
ko day2 exploration	playmode-ko-day2-exploration-1280x800.png	exploration-world	PASS	20.4	21.1	668.7	317.5	766.7	338.6	17.4	world-badge:자원 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/Gather · Wood/자원 안내/안내 문구	나무 ×2
ko day2 exploration	playmode-ko-day2-exploration-1280x800.png	ui-info	PASS	18.2	23.2	1055.8	303.0	1187.2	326.1	6.6	ui-image:가방 0	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 0/라벨	1. 나무 ×2
ko day2 exploration	playmode-ko-day2-exploration-1280x800.png	ui-info	PASS	18.1	52.4	1228.3	289.2	1343.8	341.6	2.4	ui-image:가방 1	1			bounds,overflow	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 1/라벨	2. 표류물 ×2
ko day2 exploration	playmode-ko-day2-exploration-1280x800.png	ui-info	PASS	18.1	22.4	1068.9	229.5	1172.8	251.9	3.8	ui-image:가방 2	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 2/라벨	3. 돌 ×2
ko day2 exploration	playmode-ko-day2-exploration-1280x800.png	ui-info	PASS	17.8	52.4	1226.9	215.4	1343.8	267.8	2.4	ui-image:가방 3	1			bounds,overflow	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 3/라벨	4. 표류물 ×2
ko day2 exploration	playmode-ko-day2-exploration-1280x800.png	ui-info	PASS	22.5	22.5	1078.0	156.0	1161.6	178.6	17.7	ui-image:가방 4	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 4/라벨	5. 잠김
ko day2 exploration	playmode-ko-day2-exploration-1280x800.png	ui-info	PASS	22.5	22.5	1242.6	156.0	1326.9	178.6	17.7	ui-image:가방 5	0			bounds	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 5/라벨	6. 잠김
ko day2 exploration	playmode-ko-day2-exploration-1280x800.png	ui-info	PASS	22.8	54.9	1096.1	482.4	1308.9	537.4	14.0	ui-image:가방 · icon.resource-tool-set	0			bounds	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 제목	수색 가방 4/6/한 묶음 최대 2개
ko day2 exploration	playmode-ko-day2-exploration-1280x800.png	ui-info	PASS	16.0	49.8	28.5	725.9	345.8	775.7	18.1	ui-image:상태 HUD	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/날짜·상태	DAY 1/3 · 섬 수색/허기 70 | 체력 73 | 일광 100
ko day2 exploration	playmode-ko-day2-exploration-1280x800.png	ui-info	PASS	19.5	47.2	863.4	674.4	1252.1	721.6	14.5	ui-image:상태 HUD	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/보유 자원	나무 2   돌 1   식량 0   표류물 0/신호대 0/2   도끼 없음   밧줄 없음
ko day2 exploration	playmode-ko-day2-exploration-1280x800.png	ui-info	PASS	17.7	25.3	1037.0	49.7	1245.9	75.0	8.2	ui-image:언어 설정	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/언어 설정/라벨	한국어 → English
ko day2 exploration	playmode-ko-day2-exploration-1280x800.png	ui-info	PASS	21.1	53.4	95.9	36.5	864.3	90.0	18.1	ui-image:조작 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/조작	게임패드 · 스틱 이동 · 해안 자동 수영 · A 점프 · X 수색 · B 귀환/교체 창 방향키+A (4칸) · B 포기 · Y 언어
ko day2 exploration	playmode-ko-day2-exploration-1280x800.png	world-info	PASS	20.8	50.0	500.3	491.4	677.8	541.5	18.4	world-badge:숲길 장벽 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/숲길 장벽 안내/안내 문구	돌도끼 필요/덩굴·나무 장벽
ko placement invalid	playmode-ko-placement-invalid-1280x800.png	placement-world	PASS	17.8	41.5	314.6	180.8	385.2	222.4	11.1	world-badge:world.entrance 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/world.entrance 안내/안내 문구	출입구/보호
ko placement invalid	playmode-ko-placement-invalid-1280x800.png	placement-world	PASS	18.1	18.5	494.6	166.0	598.6	184.5	8.8	world-badge:world.required_path 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/world.required_path 안내/안내 문구	필수 통로
ko placement invalid	playmode-ko-placement-invalid-1280x800.png	placement-world	PASS	17.9	19.1	948.8	241.1	1201.8	260.2	10.9	world-badge:구조 신호대 전용 앵커 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/구조 신호대 전용 앵커 안내/안내 문구	전용 앵커 · 신호대 0/2
ko placement invalid	playmode-ko-placement-invalid-1280x800.png	placement-world	PASS	18.1	44.0	161.1	364.0	266.4	407.9	10.7	world-badge:배치 판정	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/배치 유령 · object.camp-structures/배치 판정/안내 문구	모닥불/설치 불가
ko placement invalid	playmode-ko-placement-invalid-1280x800.png	placement-world	FAIL	13.6	13.7	282.6	300.2	398.6	313.9	12.6	world-badge:증축 계획 지점 안내	0			height	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/현장형 창고·증축 계획 지점 placeholder/증축 계획 지점 안내/안내 문구	설비·증축 계획
ko placement invalid	playmode-ko-placement-invalid-1280x800.png	placement-world	PASS	18.1	44.0	767.2	153.3	937.1	197.2	11.9	world-badge:호환 건설 구역 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/호환 건설 구역 안내/안내 문구	일반 설비 구역/0.5m 바닥 스냅
ko placement invalid	playmode-ko-placement-invalid-1280x800.png	ui-info	PASS	16.0	49.8	28.5	725.9	247.1	775.7	18.1	ui-image:상태 HUD	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/날짜·상태	DAY 1/3 · 캠프 준비/허기 70 | 체력 100
ko placement invalid	playmode-ko-placement-invalid-1280x800.png	ui-info	PASS	19.5	47.2	845.8	674.4	1252.1	721.6	14.5	ui-image:상태 HUD	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/보유 자원	나무 12   돌 11   식량 0   표류물 10/신호대 0/2   도끼 없음   밧줄 없음
ko placement invalid	playmode-ko-placement-invalid-1280x800.png	ui-info	PASS	17.7	25.3	1019.8	49.7	1228.6	75.0	8.2	ui-image:언어 설정	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/언어 설정/라벨	한국어 → English
